"",gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
159,PLA2G4A,-2.38981300361605,2.11572786625185,-24.8815791891182,1.32007170335534e-110,1.05763480685809e-108,241.65918423593
160,PELI2,-2.08781678002677,3.02721832749067,-24.8711543159611,1.56716507550358e-110,1.24775724355251e-108,241.462765598009
161,OSR1,-3.46052651068154,1.81038307937512,-24.8294995671117,3.1100294310157e-110,2.46078664109994e-108,240.792370765312
162,PDE3B,-3.04277149172445,2.52688098007944,-24.825431566009,3.32525094064029e-110,2.61483776128498e-108,240.706906913825
163,WDR86,-2.57778378029646,1.22595571606578,-24.8018189650204,4.90311268112649e-110,3.83194800275278e-108,240.361956926237
164,AASS,-1.90639363718937,3.53413814942837,-24.8002266532692,5.03318317064738e-110,3.9096170982242e-108,240.282049021962
165,PDK4,-3.90759609698467,5.20970921003049,-24.7896739490848,5.98680014425207e-110,4.62217254773498e-108,240.084039565317
166,FGFBP2,-3.87117628993216,-1.45313498745782,-24.7740678118246,7.73770478505371e-110,5.9379892323373e-108,239.816839050553
167,TNFRSF10D,-2.21897321750646,1.64579695554847,-24.7603764804696,9.69037386337745e-110,7.39195644584223e-108,239.683083452057
168,MYH11,-4.01889056686435,5.43261228712463,-24.5971011636349,1.41398558642421e-108,1.07218823722964e-106,236.93269776097
169,CCDC50,-1.25465925088396,6.24001557008285,-24.595304367313,1.45626907585924e-108,1.09771667203378e-106,236.877767314777
